"rulabel"	"enlabel"
"Глазунов, Илья Сергеевич"	"Ilya Glazunov"
"Савенко, Иван Григорьевич"	"Ivan Savenko"
"Вишняков, Иван Яковлевич"	"Ivan Vishnyakov"
"Богаевский, Константин Фёдорович"	"Konstantin Bogaevsky"
"Назаренко, Татьяна Григорьевна"	"Tatyana Nazarenko"
"Маковский, Александр Владимирович"	"Aleksandr Makovsky"
"Маковский, Константин Егорович"	"Konstantin Makovsky"
"Мартынов, Андрей Ефимович"	"Andrey Yefimovich Martynov"
"Ильин, Глеб Александрович"	"Gleb Ilyin"
"Бродский, Исаак Израилевич"	"Isaak Brodsky"
"Чеботарёв, Константин Константинович"	"Konstantin Chebotaryov"
"Федотов, Павел Андреевич"	"Pavel Fedotov"
"Захаров-Чеченец, Пётр Захарович"	"Pyotr Zakharov-Chechenets"
"Крестовский, Ярослав Игоревич"	"Yaroslav Krestovsky"
"Куинджи, Архип Иванович"	"Arkhip Kuindzhi"
"Крамской, Иван Николаевич"	"Ivan Kramskoi"
"Шмидт, Александр Владимирович"	"Alexander Shmidt"
"Орловский, Александр Осипович"	"Aleksander Orłowski"
"Дионисий "	"Dionisius"
"Вещилов, Константин Александрович"	"Constantin Westchiloff"
"Заграевский, Сергей Вольфгангович"	"Sergey Zagraevsky"
"Белов, Юрий Владимирович"	"Yuri Belov"
"Чупрун, Евгений Романович"	"Evgeny Chuprun"
"Мухо, Николай Антонович"	"Nikolai Mukho"
"Неврев, Николай Васильевич"	"Nikolai Nevrev"
"Тыранов, Алексей Васильевич"	"Alexey Tyranov"
"Павлов, Капитон Степанович"	"Kapiton Pavlov"
"Шибанов, Михаил"	"Mikhail Shibanov"
"Колендас, Павел"	"Pavel Kolendas"
"Бруни, Фёдор Антонович"	"Fyodor Bruni"
"Фешин, Николай Иванович"	"Nicolai Fechin"
"Малявин, Филипп Андреевич"	"Filipp Malyavin"
"Котьянц, Геворк Вартанович"	"Gevork Kotiantz"
"Семёнов, Александр Михайлович"	"Alexander Semionov"
"Ерёмин, Алексей Григорьевич"	"Alexei Eriomin"
"Петров, Борис Степанович"	"Boris Petrov"
"Литовченко, Александр Дмитриевич"	"Alexander Litovchenko"
"Кулик, Олег Борисович"	"Oleg Kulik"
